,date,lon,lat,vert,digit_date,E_mm,N_mm,U_mm
0,2016306,121.50939057,25.19519867,545.239,2016.8360655737704,8.09194688918069,20.93902649357915,28.999999999996362
1,2016307,121.50939056,25.19519866,545.25,2016.8387978142077,7.088314858265221,19.82753723859787,39.99999999996362
2,2016308,121.50939056,25.19519865,545.257,2016.8415300546449,7.092507206834853,18.719861283898354,46.99999999991178
3,2016309,121.50939061,25.19519865,545.241,2016.844262295082,12.131631781812757,18.738933838903904,30.99999999994907
4,2016310,121.50939058,25.19519865,545.259,2016.8469945355191,9.108156024012715,18.727490212768316,48.99999999997817
5,2016311,121.50939053,25.19519868,545.2330000000001,2016.8497267759562,4.056454345118254,22.031444124877453,23.000000000024556
6,2016312,121.50939053,25.19519866,545.246,2016.8524590163934,4.0648391004651785,19.81609407812357,35.99999999994452
7,2016313,121.50939054,25.19519866,545.253,2016.8551912568305,5.072663479950279,19.819908309727907,43.00000000000637
8,2016314,121.50939054,25.19519867,545.251,2016.8579234972678,5.068471131380647,20.92758333310485,40.99999999993997
9,2016315,121.50939054,25.19519867,545.248,2016.860655737705,5.068471131380647,20.92758333310485,38.000000000010914
10,2016316,121.50939053,25.19519867,545.247,2016.863387978142,4.060646693687886,20.92376910150051,36.999999999920874
11,2016317,121.50939058,25.19519867,545.253,2016.8661202185792,9.09977126866579,20.942841190844774,43.00000000000637
12,2016318,121.50939057,25.19519869,545.249,2016.8688524590164,8.083562133833766,23.154377937316895,38.99999999998727
13,2016319,121.5093906,25.19519866,545.24,2016.8715846994535,11.119614995550364,19.842795096337795,29.999999999972715
14,2016320,121.50939063,25.19519861,545.244,2016.8743169398906,14.164050051476806,14.315861277282238,33.999999999991815
15,2016321,121.50939059,25.19519866,545.246,2016.877049180328,10.111788054928184,19.83898039907217,35.99999999994452
16,2016322,121.50939062,25.19519868,545.255,2016.879781420765,13.126879057381302,22.06577407196164,44.99999999995907
17,2016323,121.50939059,25.19519869,545.255,2016.8825136612022,10.099210951011628,23.162006866186857,44.99999999995907
18,2016324,121.50939058,25.1951987,545.242,2016.8852459016393,9.087194164749235,24.265867192298174,31.99999999992542
19,2016325,121.5093906,25.19519868,545.245,2016.8879781420765,11.111230298411101,22.058145608752966,34.99999999996817
20,2016326,121.50939058,25.1951987,545.243,2016.8907103825136,9.087194164749235,24.265867192298174,33.00000000001546
21,2016327,121.50939058,25.19519867,545.252,2016.8934426229507,9.09977126866579,20.942841190844774,41.99999999991633
22,2016328,121.50939058,25.19519864,545.245,2016.896174863388,9.112348372582346,17.619815189391375,34.99999999996817
23,2016329,121.50939058,25.19519866,545.237,2016.8989071038252,9.103963675443083,19.835166167467833,26.99999999992997
24,2016330,121.50939049,25.19519874,545.21,2016.9016393442623,0.0,28.662238270044327,0.0
25,2016331,121.50939061,25.19519867,545.25,2016.9043715846994,12.123247026465833,20.954284351319075,39.99999999996362
26,2016332,121.50939058,25.19519868,545.253,2016.9071038251366,9.095578920096159,22.050516679883003,43.00000000000637
27,2016333,121.50939064,25.19519866,545.247,2016.9098360655737,15.150915191043168,19.858052488416433,36.999999999920874
28,2016334,121.50939062,25.1951987,545.238,2016.9125683060108,13.118494302034378,24.281124584376812,28.00000000002001
29,2016335,121.5093906,25.19519864,545.247,2016.9153005464482,11.127999750897288,17.627444118261337,36.999999999920874
30,2016336,121.50939059,25.19519867,545.246,2016.9180327868853,10.107595648150891,20.946655422449112,35.99999999994452
31,2016337,121.50939063,25.19519863,545.237,2016.9207650273224,14.155665296129882,16.531212255358696,26.99999999992997
32,2016338,121.5093907,25.19519862,545.241,2016.9234972677596,21.21463103685528,15.450237784534693,30.99999999994907
33,2016339,121.50939062,25.19519868,545.234,2016.9262295081967,13.126879057381302,22.06577407196164,24.00000000000091
34,2016340,121.5093906,25.19519868,545.241,2016.9289617486338,11.111230298411101,22.058145608752966,30.99999999994907
