,date,lon,lat,vert,digit_date,E_mm,N_mm,U_mm
0,2016306,144.86836014,13.58932977,201.919,2016.8360655737704,30.56775452569127,14.486716594547033,33.00000000001546
1,2016307,144.86836007,13.58932982,201.918,2016.8387978142077,21.788883488625288,19.62997205555439,32.00000000001069
2,2016308,144.86836006,13.58932983,201.925,2016.8415300546449,20.49959683790803,20.7067783921957,39.00000000001569
3,2016309,144.86836009,13.58932976,201.91299999999998,2016.844262295082,24.85974645242095,12.687583453953266,26.999999999986812
4,2016310,144.8683601,13.58932978,201.921,2016.8469945355191,25.779818650335073,15.20235906355083,34.99999999999659
5,2016311,144.86836011,13.58932982,201.90900000000002,2016.8497267759562,26.453747414052486,20.111523335799575,23.000000000024556
6,2016312,144.86836003,13.58932982,201.923,2016.8524590163934,17.124019097536802,19.14842054247856,37.00000000000614
7,2016313,144.86836003,13.58932982,201.929,2016.8551912568305,17.124019097536802,19.14842054247856,43.00000000000637
8,2016314,144.86836004,13.58932988,201.923,2016.8579234972678,17.55180861800909,26.4519730117172,37.00000000000614
9,2016315,144.86836006,13.5893298,201.938,2016.860655737705,20.868811756372452,17.11519598029554,51.9999999999925
10,2016316,144.86836007,13.58932986,201.93,2016.863387978142,21.29659755155444,24.418748449534178,44.00000000001114
11,2016317,144.8683601,13.5893298,201.905,2016.8661202185792,25.53367568179965,17.596747260540724,19.000000000005457
12,2016318,144.86836012,13.58932987,201.92700000000002,2016.8688524590164,27.004608418792486,26.21788182295859,41.00000000002524
13,2016319,144.86836011,13.58932978,201.929,2016.8715846994535,26.94603381678462,15.322746708989143,43.00000000000637
14,2016320,144.86836009,13.58932976,201.919,2016.8743169398906,24.85974645242095,12.687583453953266,33.00000000001546
15,2016321,144.86836003,13.58932984,201.917,2016.877049180328,16.877876594662666,21.542808739468455,31.00000000000591
16,2016322,144.86836004,13.58932982,201.93200000000002,2016.879781420765,18.29023752361536,19.268808653578162,46.00000000002069
17,2016323,144.86836005,13.58932977,201.919,2016.8825136612022,20.07181104272604,13.403226155787706,33.00000000001546
18,2016324,144.8683601,13.58932986,201.908,2016.8852459016393,24.795246310532093,24.77991208434105,21.99999999999136
19,2016325,144.86836007,13.58932984,201.919,2016.8879781420765,21.542740520089865,22.02436001971364,33.00000000001546
20,2016326,144.8683601,13.58932988,201.933,2016.8907103825136,24.54910334199667,27.174299815669656,46.999999999997044
21,2016327,144.86836011,13.58932985,201.919,2016.8934426229507,26.08453342691064,23.703105514869094,33.00000000001546
22,2016328,144.86836002,13.58932976,201.91099999999997,2016.896174863388,16.696236561983824,11.844868771731853,24.999999999977263
23,2016329,144.8683601,13.58932977,201.924,2016.8989071038252,25.902890134602785,14.005165547132492,38.000000000010914
24,2016330,144.86836006,13.58932986,201.896,2016.9016393442623,20.130382385104895,24.29836057126522,9.999999999990905
25,2016331,144.86836007,13.58932984,201.91299999999998,2016.9043715846994,21.542740520089865,22.02436001971364,26.999999999986812
26,2016332,144.86836,13.5893298,201.928,2016.9071038251366,13.871516566723585,16.392869176343083,42.00000000000159
27,2016333,144.86836009,13.5893298,201.922,2016.9098360655737,24.367460049688816,17.476359382271767,36.000000000001364
28,2016334,144.86836009,13.5893298,201.922,2016.9125683060108,24.367460049688816,17.476359382271767,36.000000000001364
29,2016335,144.86836007,13.58932982,201.922,2016.9153005464482,21.788883488625288,19.62997205555439,36.000000000001364
30,2016336,144.86836005,13.58932979,201.93599999999998,2016.9180327868853,19.825668074190617,15.7976143527776,49.99999999998295
31,2016337,144.86836009,13.5893298,201.90599999999998,2016.9207650273224,24.367460049688816,17.476359382271767,19.99999999998181
32,2016338,144.86836012,13.5893298,201.9,2016.9234972677596,27.866109274327755,17.837523017078638,14.000000000010004
33,2016339,144.8683602,13.58932983,201.921,2016.9262295081967,36.82662220671773,22.392208222299814,34.99999999999659
34,2016340,144.86836013,13.58932988,201.92,2016.9289617486338,28.047751635313034,27.535463450476527,33.999999999991815
35,2016341,144.86836015,13.58932988,201.90400000000002,2016.931693989071,30.380182433873415,27.776238974183798,18.000000000029104
36,2016342,144.86836006,13.58932985,201.907,2016.9344262295083,20.253454335033894,23.101166356354952,21.000000000015007
37,2016343,144.86836011,13.58932982,201.922,2016.9371584699454,26.453747414052486,20.111523335799575,36.000000000001364
38,2016344,144.86836008,13.5893298,201.922,2016.9398907103825,23.20124488323927,17.355971736833453,36.000000000001364
39,2016345,144.86836014,13.58932983,201.919,2016.9426229508197,29.829324688762426,21.669881185516715,33.00000000001546
40,2016346,144.8683601,13.58932978,201.90900000000002,2016.9453551912568,25.779818650335073,15.20235906355083,23.000000000024556
41,2016347,144.86836009,13.5893297,201.93099999999998,2016.948087431694,25.59817535802722,5.504418862983584,44.999999999987494
42,2016348,144.86836015,13.58932984,201.922,2016.950819672131,30.87246837094426,22.98746258020401,36.000000000001364
43,2016349,144.86836013,13.58932981,201.917,2016.9535519125684,28.909252490848303,19.155105343088508,31.00000000000591
44,2016350,144.86836004,13.58932979,201.90400000000002,2016.9562841530055,18.65945290774107,15.677226707339287,18.000000000029104
45,2016351,144.86836005,13.58932982,201.903,2016.9590163934427,19.456452690064907,19.389196299016476,16.999999999995907
46,2016352,144.86836004,13.58932978,201.915,2016.9617486338798,18.782523926347494,14.480032259598374,28.999999999996362
47,2016353,144.86836001,13.58932979,201.916,2016.964480874317,15.160804148763418,15.316063072532415,30.000000000001137
48,2016354,144.86836006,13.58932975,201.924,2016.967213114754,21.48416917771101,11.12922583706677,38.000000000010914
49,2016355,144.86836017,13.58932979,201.90599999999998,2016.9699453551912,33.820257522165775,17.24226796068251,19.99999999998181
50,2016356,144.86836009,13.58932985,201.91400000000002,2016.9726775956285,23.752103094011545,23.46232975833118,28.00000000002001
51,2016357,144.86836008,13.58932979,201.908,2016.9754098360656,23.324316833168268,16.158777754753828,21.99999999999136
52,2016358,144.86836009,13.58932983,201.915,2016.9781420765028,23.99824559688568,21.06794179417193,28.999999999996362
53,2016359,144.86836016,13.58932985,201.93200000000002,2016.98087431694,31.915615778416395,24.30504490621388,46.00000000002069
54,2016360,144.86836016,13.58932982,201.907,2016.983606557377,32.28482976555824,20.71346272714436,21.000000000015007
55,2016361,144.86836011,13.58932976,201.91099999999997,2016.9863387978141,27.192176785320044,12.928358977660537,24.999999999977263
56,2016362,144.8683601,13.58932979,201.907,2016.9890710382513,25.656747166067362,16.399553511291742,21.000000000015007
57,2016363,144.86836002,13.58932975,201.907,2016.9918032786886,16.819308046251535,10.647674789652228,21.000000000015007
58,2016364,144.86836004,13.58932984,201.925,2016.9945355191257,18.044095020741224,21.663196850568056,39.00000000001569
59,2016365,144.86836005,13.58932982,201.923,2016.9972677595629,19.456452690064907,19.389196299016476,37.00000000000614
60,2016366,144.86836001,13.58932975,201.93,2017.0,15.653089620172977,10.527286678552628,44.00000000001114
61,2017001,144.86836008,13.58932985,201.921,2017.0027397260274,22.58588746190071,23.34194234572351,34.99999999999659
62,2017002,144.86836008,13.58932982,201.924,2017.0054794520547,22.95510144904256,19.75036016665399,38.000000000010914
63,2017003,144.8683601,13.5893298,201.91099999999997,2017.0082191780823,25.53367568179965,17.596747260540724,24.999999999977263
64,2017004,144.86836012,13.58932981,201.912,2017.0109589041097,27.743037324398756,19.03471746481955,26.00000000001046
65,2017005,144.86836017,13.58932987,201.905,2017.013698630137,32.83568471670151,26.819820748642087,19.000000000005457
66,2017006,144.86836007,13.58932979,201.92,2017.0164383561644,22.158098872750998,16.03838987648487,33.999999999991815
67,2017007,144.86836011,13.58932983,201.916,2017.0191780821917,26.330675929784775,21.308717550709844,30.000000000001137
68,2017008,144.86836008,13.58932985,201.92,2017.021917808219,22.58588746190071,23.34194234572351,33.999999999991815
69,2017009,144.86836009,13.5893299,201.942,2017.0246575342467,23.136745672672987,29.448300367221236,56.000000000011596
70,2017010,144.86836015,13.58932978,201.923,2017.027397260274,31.610898207873106,15.804297989234328,37.00000000000614
71,2017011,144.8683601,13.58932978,201.91099999999997,2017.0301369863014,25.779818650335073,15.20235906355083,24.999999999977263
72,2017012,144.86836012,13.5893298,201.923,2017.0328767123287,27.866109274327755,17.837523017078638,37.00000000000614
73,2017013,144.86836013,13.58932986,201.926,2017.035616438356,28.293894603848457,25.14107571914792,39.99999999999204
74,2017014,144.8683601,13.58932975,201.925,2017.0383561643835,26.14903310313821,11.61077688448131,39.00000000001569
75,2017015,144.86836014,13.58932991,201.912,2017.041095890411,28.844752814620733,31.247433740645647,26.00000000001046
76,2017016,144.86836005,13.58932984,201.918,2017.0438356164384,19.21031018719077,21.78358449600637,32.00000000001069
77,2017017,144.86836001,13.58932974,201.957,2017.0465753424658,15.776161104440689,9.330092463642359,70.99999999999795
78,2017018,144.86836003,13.58932981,201.93900000000002,2017.0493150684931,17.247090581804514,17.95122679322958,53.00000000002569
79,2017019,144.86836006,13.58932983,201.91400000000002,2017.0520547945205,20.49959683790803,20.7067783921957,28.00000000002001
80,2017020,144.86836015,13.58932982,201.91,2017.054794520548,31.118611339479685,20.59307461604476,24.00000000000091
81,2017021,144.8683601,13.58932984,201.919,2017.0575342465754,25.041389279067516,22.38552365452051,33.00000000001546
82,2017022,144.86836011,13.58932986,201.926,2017.0602739726028,25.96146147698164,24.900299962610006,39.99999999999204
83,2017023,144.86836009,13.58932984,201.93,2017.0630136986301,23.87517411261797,22.265135776251554,44.00000000001114
84,2017024,144.86836005,13.58932977,201.94099999999997,2017.0657534246575,20.07181104272604,13.403226155787706,54.9999999999784
85,2017025,144.86836006,13.58932986,201.921,2017.0684931506848,20.130382385104895,24.29836057126522,34.99999999999659
86,2017026,144.86836004,13.58932978,201.92,2017.0712328767124,18.782523926347494,14.480032259598374,33.999999999991815
87,2017027,144.86836011,13.58932977,201.921,2017.0739726027398,27.069105301052332,14.125552959740162,34.99999999999659
88,2017028,144.86836007,13.58932977,201.935,2017.0767123287671,22.404241375625134,13.644001679494977,49.000000000006594
89,2017029,144.86836009,13.5893298,201.926,2017.0794520547945,24.367460049688816,17.476359382271767,39.99999999999204
90,2017030,144.86836012,13.58932986,201.929,2017.0821917808219,27.12767943739891,25.020688073709607,43.00000000000637
91,2017031,144.86836009,13.58932984,201.923,2017.0849315068492,23.87517411261797,22.265135776251554,37.00000000000614
92,2017032,144.8683601,13.58932982,201.921,2017.0876712328768,25.287531781941652,19.991135457530618,34.99999999999659
93,2017033,144.8683601,13.58932981,201.93200000000002,2017.0904109589042,25.41060373187065,18.793941708281636,46.00000000002069
94,2017034,144.86836003,13.58932978,201.926,2017.0931506849315,17.616305500268936,14.359644148498774,39.99999999999204
95,2017035,144.86836009,13.58932977,201.919,2017.0958904109589,24.73667496815324,13.884777668863535,33.00000000001546
96,2017036,144.86836013,13.5893298,201.947,2017.0986301369862,29.032324440777302,17.957910895347595,61.00000000000705
97,2017037,144.86836009,13.58932975,201.938,2017.1013698630136,24.98281793668866,11.490389239042997,51.9999999999925
98,2017038,144.86836006,13.5893298,201.93,2017.1041095890412,20.868811756372452,17.11519598029554,44.00000000001114
99,2017039,144.86836011,13.58932978,201.93400000000003,2017.1068493150685,26.94603381678462,15.322746708989143,48.00000000003024
100,2017040,144.86836009,13.58932977,201.926,2017.109589041096,24.73667496815324,13.884777668863535,39.99999999999204
101,2017041,144.86836007,13.58932979,201.93,2017.1123287671232,22.158098872750998,16.03838987648487,44.00000000001114
102,2017042,144.86836011,13.58932984,201.92,2017.1150684931506,26.207604445517063,22.505911299958825,33.999999999991815
103,2017043,144.86836002,13.58932972,201.925,2017.1178082191782,17.188522964715958,7.056092377752066,39.00000000001569
104,2017044,144.86836011,13.58932981,201.918,2017.1205479452055,26.576818898320198,18.91432935371995,32.00000000001069
105,2017045,144.86836002,13.58932983,201.94,2017.123287671233,15.834735706448555,20.22522734478116,54.000000000002046
106,2017046,144.86836007,13.58932978,201.916,2017.1260273972603,22.281169891357422,14.841195428743958,30.000000000001137
107,2017047,144.8683601,13.58932983,201.912,2017.1287671232876,25.164460763335228,21.188329672440886,26.00000000001046
108,2017048,144.86836009,13.58932977,201.907,2017.131506849315,24.73667496815324,13.884777668863535,21.000000000015007
109,2017049,144.86836007,13.58932981,201.949,2017.1342465753426,21.911954972893,18.432778073474765,63.0000000000166
110,2017050,144.86836013,13.5893298,201.91400000000002,2017.13698630137,29.032324440777302,17.957910895347595,28.00000000002001
111,2017051,144.8683601,13.58932975,201.912,2017.1397260273973,26.14903310313821,11.61077688448131,26.00000000001046
112,2017052,144.86836015,13.5893298,201.91299999999998,2017.1424657534246,31.364755239337683,18.198686419054866,26.999999999986812
113,2017053,144.86836013,13.58932982,201.918,2017.145205479452,28.78618100658059,20.35229909233749,32.00000000001069
114,2017054,144.86836014,13.58932992,201.907,2017.1479452054793,28.72168133035302,32.44462748989463,21.000000000015007
115,2017055,144.86836011,13.58932985,201.92,2017.150684931507,26.08453342691064,23.703105514869094,33.999999999991815
116,2017056,144.86836022,13.58932986,201.895,2017.1534246575343,38.78983808681369,26.224565925076604,9.000000000014552
117,2017057,144.86836008,13.58932978,201.90900000000002,2017.1561643835616,23.447387851774693,14.961583307012916,23.000000000024556
118,2017058,144.86836011,13.58932981,201.90599999999998,2017.158904109589,26.576818898320198,18.91432935371995,19.99999999998181
119,2017059,144.86836003,13.58932982,201.916,2017.1616438356164,17.124019097536802,19.14842054247856,30.000000000001137
120,2017060,144.86836008,13.5893298,201.907,2017.164383561644,23.20124488323927,17.355971736833453,21.000000000015007
121,2017061,144.86836008,13.58932979,201.929,2017.1671232876713,23.324316833168268,16.158777754753828,43.00000000000637
122,2017062,144.86836013,13.58932978,201.91299999999998,2017.1698630136987,29.278467409312725,15.563522698357701,26.999999999986812
123,2017063,144.86836012,13.58932973,201.905,2017.172602739726,28.727610129863024,9.457164211198688,19.000000000005457
124,2017064,144.86836005,13.58932984,201.922,2017.1753424657534,19.21031018719077,21.78358449600637,36.000000000001364
125,2017065,144.86836004,13.58932986,201.924,2017.1780821917807,17.7979520522058,24.057585280388594,38.000000000010914
126,2017066,144.8683601,13.58932982,201.903,2017.1808219178083,25.287531781941652,19.991135457530618,16.999999999995907
127,2017067,144.86836019,13.5893298,201.903,2017.1835616438357,36.029618699103594,18.68023769930005,16.999999999995907
128,2017068,144.86836007,13.58932979,201.917,2017.186301369863,22.158098872750998,16.03838987648487,31.00000000000591
129,2017069,144.86836017,13.5893298,201.91299999999998,2017.1890410958904,33.697185572236776,18.439461709931493,26.999999999986812
130,2017070,144.86836014,13.58932981,201.93,2017.1917808219177,30.07546765729785,19.27549298852682,44.00000000001114
131,2017071,144.86836021,13.58932982,201.925,2017.194520547945,38.115906063467264,21.315401419997215,39.00000000001569
132,2017072,144.86836018,13.58932981,201.908,2017.1972602739727,34.74033158272505,19.757044268772006,21.99999999999136
133,2017073,144.86836012,13.58932985,201.907,2017.2,27.250751852989197,23.823493625968695,21.000000000015007
134,2017074,144.86836014,13.58932984,201.91099999999997,2017.2027397260274,29.706253204494715,22.867074934765697,24.999999999977263
135,2017075,144.86836012,13.58932994,201.92,2017.2054794520548,26.143108028918505,34.59824086166918,33.999999999991815
136,2017076,144.86836007,13.58932973,201.90599999999998,2017.2082191780821,22.896527778357267,8.855224587023258,19.99999999998181
137,2017077,144.86836011,13.58932977,201.918,2017.2109589041097,27.069105301052332,14.125552959740162,32.00000000001069
138,2017078,144.86836029,13.58932983,201.94299999999998,2017.213698630137,47.32256289571524,23.475698195397854,56.99999999998795
139,2017079,144.86836015,13.58932977,201.924,2017.2164383561644,31.733969692140818,14.60710447281599,38.000000000010914
