,date,lon,lat,vert,digit_date,E_mm,N_mm,U_mm
0,2016306,121.81444622,25.10768623,79.157,2016.8360655737704,4.962739476468414,18.666743766516447,43.00000000000637
1,2016307,121.81444621,25.10768623,79.16199999999999,2016.8387978142077,3.954155894462019,18.66065990179777,48.00000000000182
2,2016308,121.81444621,25.10768624,79.181,2016.8415300546449,3.9474742370657623,19.768365658819675,67.00000000000728
3,2016309,121.81444626,25.1076862,79.163,2016.844262295082,9.017121279612184,15.367959626019001,49.000000000006594
4,2016310,121.81444621,25.10768619,79.175,2016.8469945355191,3.9808828732930124,14.229834079742432,61.00000000000705
5,2016311,121.81444619,25.10768616,79.139,2016.8497267759562,1.983760972507298,10.894548613578081,25.000000000005684
6,2016312,121.8144462,25.1076862,79.15899999999999,2016.8524590163934,2.9656176338903606,15.331456903368235,45.000000000001705
7,2016313,121.81444619,25.10768622,79.169,2016.8551912568305,1.94367062067613,17.54078594967723,55.00000000000682
8,2016314,121.81444619,25.10768623,79.171,2016.8579234972678,1.9369889050722122,18.648492638021708,57.00000000001637
9,2016315,121.81444621,25.10768625,79.165,2016.860655737705,3.9407924632541835,20.87607281282544,51.00000000001614
10,2016316,121.81444618,25.10768622,79.166,2016.863387978142,0.9350870968773961,17.534702084958553,52.00000000000671
11,2016317,121.81444624,25.10768621,79.163,2016.8661202185792,6.993272516410798,16.46349858492613,49.000000000006594
12,2016318,121.81444625,25.10768621,79.157,2016.8688524590164,8.00185598200187,16.469581983983517,43.00000000000637
13,2016319,121.81444626,25.10768621,79.155,2016.8715846994535,9.010439564008266,16.475665848702192,41.00000000001103
14,2016320,121.81444626,25.10768619,79.167,2016.8743169398906,9.023802995216101,14.26025340333581,53.00000000001148
15,2016321,121.81444624,25.1076862,79.165,2016.877049180328,6.999954232014716,15.355792362242937,51.00000000001614
16,2016322,121.8144463,25.10768613,79.15899999999999,2016.879781420765,13.098229945171624,7.638351526111364,45.000000000001705
17,2016323,121.81444623,25.10768623,79.153,2016.8825136612022,5.971325503196567,18.672827631235123,39.00000000001569
18,2016324,121.81444624,25.10768623,79.152,2016.8852459016393,6.979909085202962,18.6789114959538,38.000000000010914
19,2016325,121.81444626,25.10768623,79.161,2016.8879781420765,8.99707607459277,18.69107922539115,47.000000000011255
20,2016326,121.81444623,25.10768624,79.154,2016.8907103825136,5.96464384580031,19.780533388257027,40.00000000000625
21,2016327,121.81444627,25.10768625,79.178,2016.8934426229507,9.992298728320748,20.912575535476208,64.00000000000716
22,2016328,121.81444623,25.10768621,79.167,2016.896174863388,5.984688992612064,16.457414254546165,53.00000000001148
23,2016329,121.81444623,25.10768622,79.15899999999999,2016.8989071038252,5.978007277008146,17.565120942890644,45.000000000001705
24,2016330,121.81444623,25.10768619,79.14,2016.9016393442623,5.9980524238199,14.24200227484107,26.00000000001046
25,2016331,121.81444626,25.10768623,79.164,2016.9043715846994,8.99707607459277,18.69107922539115,50.00000000001137
26,2016332,121.81444623,25.10768625,79.168,2016.9071038251366,5.957962071988732,20.888240542262793,54.00000000001626
27,2016333,121.81444626,25.10768621,79.164,2016.9098360655737,9.010439564008266,16.475665848702192,50.00000000001137
28,2016334,121.81444627,25.10768623,79.156,2016.9125683060108,10.005662159528583,18.697163090109825,42.0000000000158
29,2016335,121.81444625,25.10768623,79.157,2016.9153005464482,7.988492550794035,18.684994895011187,43.00000000000637
30,2016336,121.81444625,25.10768622,79.158,2016.9180327868853,7.995174266397953,17.577288672327995,44.00000000001114
31,2016337,121.81444627,25.10768621,79.154,2016.9207650273224,10.019025590736419,16.481749713420868,40.00000000000625
32,2016338,121.81444626,25.10768622,79.167,2016.9234972677596,9.003757790196687,17.58337253704667,53.00000000001148
33,2016339,121.81444627,25.10768624,79.152,2016.9262295081967,9.998980443924665,19.80486884713173,38.000000000010914
34,2016340,121.81444625,25.10768625,79.156,2016.9289617486338,7.9751291195861995,20.900407806038857,42.0000000000158
35,2016341,121.81444625,25.10768626,79.16,2016.931693989071,7.968447403982282,22.00811356306076,46.00000000000648
36,2016342,121.81444623,25.10768621,79.167,2016.9344262295083,5.984688992612064,16.457414254546165,53.00000000001148
37,2016343,121.81444623,25.10768621,79.157,2016.9371584699454,5.984688992612064,16.457414254546165,43.00000000000637
38,2016344,121.81444623,25.1076862,79.157,2016.9398907103825,5.991370708215982,15.349708497524261,43.00000000000637
39,2016345,121.81444625,25.10768625,79.156,2016.9426229508197,7.9751291195861995,20.900407806038857,42.0000000000158
40,2016346,121.81444628,25.10768619,79.157,2016.9453551912568,11.04097260395065,14.272420667111874,43.00000000000637
41,2016347,121.8144463,25.10768621,79.158,2016.948087431694,13.04477616213262,16.500000841915607,44.00000000001114
42,2016348,121.81444626,25.10768622,79.157,2016.950819672131,9.003757790196687,17.58337253704667,43.00000000000637
43,2016349,121.81444625,25.10768625,79.15899999999999,2016.9535519125684,7.9751291195861995,20.900407806038857,45.000000000001705
44,2016350,121.8144462,25.1076862,79.166,2016.9562841530055,2.9656176338903606,15.331456903368235,52.00000000000671
45,2016351,121.81444622,25.10768619,79.163,2016.9590163934427,4.989466338884085,14.235917944461107,49.000000000006594
46,2016352,121.81444622,25.10768616,79.155,2016.9617486338798,5.0095115439035,10.912800207734108,41.00000000001103
47,2016353,121.81444621,25.10768613,79.143,2016.964480874317,4.020973166916519,7.583596743643284,29.000000000010573
48,2016354,121.81444617,25.10768611,79.14,2016.967213114754,0.0,5.343848839402199,26.00000000001046
49,2016355,121.81444631,25.10768611,79.116,2016.9699453551912,14.120176958385855,5.42902247980237,2.0000000000095497
50,2016356,121.81444621,25.1076862,79.15899999999999,2016.9726775956285,3.9742010994814336,15.337540302425623,45.000000000001705
51,2016357,121.81444627,25.10768623,79.154,2016.9754098360656,10.005662159528583,18.697163090109825,40.00000000000625
52,2016358,121.81444626,25.10768624,79.166,2016.9781420765028,8.990394358988851,19.798784516751766,52.00000000000671
53,2016359,121.81444625,25.10768622,79.164,2016.98087431694,7.995174266397953,17.577288672327995,50.00000000001137
54,2016360,121.81444627,25.10768619,79.13600000000001,2016.983606557377,10.032389080151916,14.266337268054485,22.00000000001978
55,2016361,121.81444629,25.10768621,79.155,2016.9863387978141,12.036192638333887,16.493916977196932,41.00000000001103
56,2016362,121.81444627,25.1076862,79.166,2016.9890710382513,10.025707364547998,15.374043490737677,52.00000000000671
57,2016363,121.81444622,25.10768618,79.17399999999999,2016.9918032786886,4.996148054488003,13.12821265310049,60.000000000002274
58,2016364,121.8144462,25.10768619,79.161,2016.9945355191257,2.9722992912866175,14.223750680685043,47.000000000011255
59,2016365,121.81444622,25.10768619,79.163,2016.9972677595629,4.989466338884085,14.235917944461107,49.000000000006594
60,2016366,121.81444623,25.10768614,79.154,2017.0,6.03146106004715,8.703471161425114,40.00000000000625
61,2017001,121.81444622,25.10768618,79.148,2017.0027397260274,4.996148054488003,13.12821265310049,34.000000000006025
62,2017002,121.81444624,25.1076862,79.166,2017.0054794520547,6.999954232014716,15.355792362242937,52.00000000000671
